TIME,VO2,VO2/kg,METS,VCO2,VE,RER,RR,Vt,FEO2,FECO2,HR,VE/,VE/,PetCO2,Power
,STPD,STPD,,STPD,BTPS,,,BTPS,,,,VO2,VCO2,,
min,L/min,ml/kg/m,,L/min,L/min,,BPM,L,%,%,bpm,BT/ST,BT/ST,mmHg,Watts
----------,,,,,,,,,,,,,,,
0.517166674,0.247651309,4.552413464,1.300689578,0.184219986,19.60388184,0.743868411,17.4025135,1.126497149,19.24795151,1.362279773,82,79.15921021,106.4156113,10.53666782,50
1.0521667,0.687631011,12.64027596,3.611507416,0.524605274,19.48801422,0.762916863,22.42990494,0.868840694,16.21204948,3.827807426,84,28.34080124,37.14795685,25.49147987,50
1.517833352,0.900826395,16.55930901,4.731231213,0.674840033,23.45595932,0.749134421,19.32712936,1.213628769,15.81043339,4.088318348,87,26.03826904,34.75780487,27.31636238,50
2.040499926,0.907712698,16.68589401,4.767398357,0.675091565,23.95195961,0.74372822,21.04591942,1.138080955,15.88415718,4.005978107,99,26.38715935,35.4795723,26.74253273,50
2.548999786,1.018968821,18.73104477,5.351727009,0.757926047,25.988657,0.743816733,19.66568375,1.32152319,15.70950413,4.14366293,98.5,25.50485992,34.28917313,27.54349518,50
3.037166595,1.053835034,19.37196732,5.534847736,0.787069082,26.38560677,0.746861756,24.58176804,1.073381186,15.60851574,4.237333775,97,25.03770065,33.52387619,28.17118645,50
3.531499863,1.01532805,18.66411781,5.332604885,0.776428878,25.5638504,0.764707386,18.20633888,1.40411818,15.61727905,4.313637733,98,25.1779213,32.92490768,28.59039497,50
4.002333164,1.147211075,21.08843803,6.025268078,0.887739182,28.4966774,0.773823738,21.23893738,1.341718554,15.53419399,4.423396587,99.5,24.8399601,32.10028076,29.45886612,50
4.529166222,1.114329815,20.48400307,5.852572441,0.881047785,28.61538124,0.790652633,20.87946701,1.370503426,15.6912899,4.372262478,98,25.6794548,32.47880554,29.09826851,50
5.011665821,1.129239917,20.75808525,5.9308815,0.895293295,29.9076004,0.792828262,22.79792595,1.311856151,15.84815216,4.252093315,99,26.48471832,33.40536499,28.33304977,50
5.521331787,1.150191426,21.14322472,6.040921211,0.9140836,30.60412788,0.794723034,23.54480171,1.299825311,15.86957359,4.242615223,104,26.60785675,33.48066711,28.24186325,75
6.035998821,1.150414348,21.1473217,6.042091846,0.901693404,30.08355904,0.783798814,21.37305832,1.407545805,15.79331112,4.257415771,104,26.15019417,33.36340332,28.39472198,75
6.525832176,1.292376041,23.75691223,6.787689209,1.005589843,32.70206833,0.778093815,22.45661736,1.456233025,15.62814045,4.366772175,106,25.30383301,32.52028656,29.03570366,75
7.009999752,1.302125931,23.93613815,6.838896751,1.028273463,33.22331238,0.78968817,24.7848568,1.340468168,15.65856838,4.394926071,112,25.51466942,32.30980301,29.28064919,75
7.523165226,1.373755455,25.25285721,7.215102196,1.081316233,34.99538803,0.787124276,23.38421631,1.496538877,15.65316677,4.387681484,110,25.47424889,32.36369324,29.12957191,100
8.042331696,1.305795789,24.00359917,6.858170986,1.052634835,33.51356125,0.806125164,25.04012871,1.338394165,15.67063713,4.459445477,107,25.66523933,31.83778381,29.6488781,100
8.535497665,1.303595066,23.9631443,6.846612453,1.0639956,34.53417587,0.816201031,24.33254623,1.419258595,15.82347488,4.375095844,110.5,26.49148941,32.45706558,28.98142052,100
9.020830154,1.493177414,27.4481144,7.842318535,1.204099298,39.34542465,0.806400716,26.78571129,1.468896031,15.80702972,4.346045494,116,26.3501339,32.67622757,28.90193176,100
9.531996727,1.4572891,26.78840256,7.653829098,1.194286346,37.87310791,0.819526017,25.43201637,1.489190102,15.7209177,4.476950645,118,25.98874092,31.71191597,29.90279007,100
10.02583027,1.442515492,26.51682854,7.576236725,1.214086771,38.93985367,0.841645539,24.29969597,1.602483153,15.89085197,4.426891804,118,26.99440956,32.07336807,29.44298935,100
10.53399849,1.454125881,26.73025513,7.637215614,1.202727318,37.60768509,0.827113628,23.61429596,1.592581272,15.68690395,4.539825916,117,25.86274338,31.26867104,30.20022583,125
11.01433182,1.530612946,28.13626671,8.038933754,1.277464986,39.97026443,0.834610105,24.98265076,1.599920869,15.72887611,4.536921024,119,26.11389351,31.28873634,30.07615471,125
11.51599979,1.561145782,28.69753265,8.199295044,1.313647509,41.82239532,0.841463685,27.9069767,1.498635888,15.85251713,4.459483624,123,26.78955078,31.83684731,29.67252731,125
12.01966667,1.506014585,27.68409157,7.909740448,1.284222245,41.59891891,0.852728963,25.81072044,1.611691475,15.99350357,4.383671284,127,27.62185669,32.39230347,29.22160912,125
12.51500034,1.647191644,30.27925682,8.651216507,1.393707752,43.21532822,0.846111476,26.24495316,1.64661479,15.74012756,4.577684879,125,26.23576164,31.00745392,30.43486214,125
13.01933289,1.61724472,29.72876167,8.49393177,1.383264065,42.72031403,0.855321407,27.75941658,1.538948536,15.7651701,4.595844269,129,26.4154911,30.88370132,30.71492004,125
13.50133228,1.693527102,31.13101196,8.894575119,1.440150619,44.56072235,0.850385368,26.97095299,1.652174592,15.75045204,4.587315559,129,26.31237602,30.94170952,30.48296356,150
14.00883102,1.754008293,32.24279785,9.212227821,1.523735523,47.31076813,0.86871624,27.58621025,1.715015173,15.85729027,4.571527958,131,26.97294426,31.04920006,30.42250061,150
14.51183128,1.756586313,32.29018784,9.225768089,1.535383463,48.41971207,0.874072313,29.82107162,1.623674393,15.96045971,4.501578331,131,27.56466484,31.53590775,29.96437263,150
15.02616596,1.831948161,33.67551804,9.621576309,1.624156833,54.04748535,0.886573553,34.99675751,1.544356942,16.27443886,4.268083096,134,29.50273705,33.27725601,28.39168739,150
15.50599957,1.789935589,32.90322495,9.400921822,1.598411918,52.58536911,0.892999709,31.26085663,1.682147384,16.24829102,4.316745758,137,29.37835884,32.89850998,28.69536591,150
16.03416634,1.850674033,34.01974106,9.71992588,1.650086284,52.05477905,0.891613662,30.29346466,1.718350172,16.04153442,4.500011444,139,28.12747002,31.54670143,30.03652954,150
16.50833511,1.926275373,35.40947342,10.116992,1.718254447,52.85895538,0.892008722,29.52548409,1.790282488,15.91882324,4.613605976,139,27.44101715,30.76317024,30.63819122,175
17.00883675,1.921294332,35.31790924,10.0908308,1.735844731,55.3499794,0.903476715,31.96803093,1.731416583,16.14500618,4.452460289,140,28.80869293,31.88648033,29.58704185,175
17.5256691,1.980289578,36.4023819,10.40068054,1.795056224,58.21202087,0.906461477,34.82747269,1.671439767,16.2375679,4.378624916,140,29.3957119,32.42908096,29.16551208,175
18.02416611,1.936406493,35.59570694,10.17020226,1.758620977,55.78865433,0.908187926,32.09628677,1.738165379,16.14047432,4.475195408,143,28.81040382,31.7229557,29.83904648,175
18.51583099,2.066926718,37.99497604,10.85570717,1.869368553,58.46691513,0.904419363,32.54237747,1.796639323,16.05574989,4.538543701,146,28.28688431,31.27629089,30.20264435,175
19.00782776,2.123446226,39.03393555,11.1525526,1.979314685,64.59212494,0.93212378,36.58536911,1.76551795,16.37050629,4.351384163,147,30.41853523,32.63357925,28.86865234,175
19.52532578,2.142260551,39.37978745,11.25136757,2.01199913,64.24250793,0.939194381,36.71497726,1.749763012,16.29813385,4.446414948,149,29.98818588,31.92968941,29.60005379,200
20.01282501,2.149759054,39.51762772,11.2907505,2.03866148,65.70379639,0.948320925,36.92307281,1.779478073,16.37650299,4.405489445,149,30.5633297,32.22888947,29.24694633,200
20.50915909,2.186583757,40.19455338,11.48415852,2.058037758,66.52922058,0.941211462,38.28072739,1.73792994,16.36284637,4.392317772,149,30.42610168,32.32653046,29.23952866,200
21.02899551,2.1982584,40.40916061,11.54547405,2.102402925,68.73416901,0.956394792,38.47386932,1.786515594,16.47145844,4.343482494,152,31.26755714,32.69314575,28.85129356,200
21.51349449,2.360763311,43.39638138,12.39896584,2.264502764,73.90485382,0.95922482,39.2156868,1.884573698,16.4742012,4.350981236,154,31.30549049,32.6362381,28.92448616,200
22.01032257,2.32591486,42.7557869,12.21593952,2.276009321,74.11745453,0.978543699,40.25494003,1.841201425,16.53471184,4.360422134,157,31.86593628,32.56465149,29.07984924,200
22.50265694,2.388874769,43.91313934,12.54661083,2.36801219,77.03320313,0.991266787,40.62288666,1.896300554,16.57498741,4.364902973,158,32.24664688,32.53074646,28.9183197,225
23.00882339,2.40201664,44.15471649,12.61563301,2.38708806,78.02249908,0.993784964,41.48831177,1.880589843,16.60426521,4.34445858,158,32.48208237,32.68521881,28.8239212,225
23.50748825,2.333824873,42.90119171,12.25748348,2.318746328,78.16875458,0.993539155,44.11764908,1.771825075,16.73514938,4.213399887,159,33.49383926,33.71164703,28.08015823,225
24.00265503,2.494253397,45.85024643,13.10007,2.537345171,84.8319397,1.017276406,46.44900894,1.826345563,16.77837944,4.248099804,159,34.01095581,33.43334579,28.27508926,225
24.50349236,2.480345011,45.59457779,13.02702236,2.597230673,85.86542511,1.047124743,45.92346573,1.8697505,16.82583046,4.295525551,163,34.61833954,33.06037521,28.49702835,225
25.01382637,2.523414373,46.3862915,13.25322628,2.715650082,91.08434296,1.076180816,48.9875946,1.859334826,16.97010612,4.23456192,164,36.09567261,33.54053116,28.15128136,225
25.50416183,2.552968264,46.92956161,13.40844631,2.76861763,96.85891724,1.084470034,53.02515793,1.826659679,17.15613937,4.061412811,166,37.93972778,34.98457718,26.97459984,250
26.00832558,2.599028111,47.77624893,13.65035725,2.842338324,99.30608368,1.09361589,55.53718948,1.7881006,17.17567825,4.066742897,167,38.20893097,34.93816376,26.99367523,250
26.51082611,2.545781851,46.79745865,13.37070274,2.79125309,97.44702911,1.096422672,55.72138596,1.748826385,17.18027687,4.069806099,168,38.27783966,34.9115715,27.04037666,250
27.0059948,2.566305161,47.17472458,13.47849274,2.846503258,102.3163757,1.109183431,60.58565521,1.688788772,17.32051849,3.953977108,168,39.86913681,35.94458389,26.29595947,250
27.38599777,2.53116107,46.52869415,13.29391289,2.81175518,97.97476196,1.110855937,57.89474106,1.69229126,17.21091461,4.077520847,169,38.70743942,34.84469986,27.06917953,250
